behavior, quantity
Deposit,4000
Withdraw,1000
Deposit,100
Withdraw,200
Withdraw,12
Deposit,4000
Deposit,10
Deposit,3
Deposit, 1000.0
Deposit, 1.0
Deposit, 1.0
Deposit, 100.0
Deposit, 3500.0
Deposit, 3500.0
Deposit, 1000.0
Deposit, 1000.0
Deposit, 2501.0
Deposit, 2501.0
Deposit, 1000.0
Deposit, 1000.0
Deposit, 3500.0
Deposit, 1.0
Deposit, 1.0
Deposit, 1.0
Deposit, 0.0
Deposit, 140.2
Deposit, 91249.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Withdraw, -1.0
Deposit, 40.0
Deposit, 100000.0
Deposit, 40.0
Withdraw, 40.0
Withdraw, 40.0
Withdraw, 40.0
Withdraw, 40.0
Withdraw, 91.0
Withdraw, 91.0
Withdraw, 34.0
Withdraw, 34.0
Withdraw, 999.9
Withdraw, 999.9
Withdraw, 40.0
Withdraw, 520.0
Withdraw, 520.0
Deposit, 520.0
Deposit, 520.0
Deposit, 40.0
Deposit, 40.0
Withdraw, 40.0
Withdraw, 40.0
Deposit, 40.0
Deposit, 91.0
Deposit, 34.0
Deposit, 99.99
Deposit, 40.0
Deposit, 91.0
Withdraw, 40.0
Deposit, 40.0
Withdraw, 34.0
Withdraw, 18.1
Withdraw, 601.43
Withdraw, 23.85
Withdraw, 23.85
Withdraw, 23.85
