Buy,KMT,100,5000,2023-05-02T00:33:19.494833
Buy,UZI,20,2000,2023-05-02T00:33:19.494833
Buy,HUI,50,600,2023-05-02T00:33:19.494833
Buy,MIR,1,400,2023-05-02T00:33:19.494833
Sell,KMT,100,5000,2023-05-02T00:33:19.494833
Sell,UZI,20,2000,2023-05-02T00:33:19.494833
Sell,HUI,50,600,2023-05-02T00:33:19.494833
Sell,MIR,1,400,2023-05-02T00:33:19.494833
BUY,BRUH,100,100.0,2023-05-02T00:39:52.341910
BUY,BRUH,100,100.0,2023-05-02T00:40:09.801729
BUY,BRUH,100,100.0,2023-05-02T00:43:09.513642
BUY,BRUH,100,100.0,2023-05-02T11:38:36.483415
BUY,BRUH,100,100.0,2023-05-02T11:43:52.296994
BUY,BRUH,100,100.0,2023-05-02T20:55:46.465527
BUY,BRUH,100,100.0,2023-05-02T20:56:24.478835
BUY,BRUH,100,100.0,2023-05-02T21:05:23.748101
BUY,BRUH,100,100.0,2023-05-04T16:29:35.798975
BUY,BRUH,100,100.0,2023-05-04T16:31:46.899019
BUY,BRUH,100,100.0,2023-05-05T20:44:35.693328
BUY,BRUH,100,100.0,2023-05-05T20:45:34.783652
